frame,elbow_y,shoulder_y,angle,reference_angle,deviation,smoothed_status,fps,hint,phase
151,269,375,0,150,0,True,31,,baseline
152,266,375,0,150,0,True,32,,baseline
153,260,372,0,150,0,True,29,,baseline
154,249,371,0,150,0,True,32,,baseline
155,246,371,0,150,0,True,32,,baseline
156,229,366,0,150,0,True,31,,baseline
157,219,363,0,150,0,True,29,,baseline
158,213,361,0,150,0,True,29,,baseline
159,209,358,0,150,0,True,32,,baseline
160,200,357,0,150,0,True,18,,baseline
161,205,357,0,150,0,True,39,,baseline
162,209,358,0,150,0,True,31,,baseline
163,211,358,0,150,0,True,28,,baseline
164,212,358,0,150,0,True,33,,baseline
165,224,362,0,150,0,True,32,,baseline
166,242,367,0,150,0,True,30,,baseline
167,259,374,0,150,0,True,31,,baseline
168,275,379,0,150,0,True,29,,baseline
169,296,384,0,150,0,True,31,,baseline
170,315,388,0,150,0,True,30,,baseline
171,334,389,0,150,0,True,32,,baseline
172,351,391,0,150,0,True,20,,baseline
173,373,392,0,150,0,True,29,,baseline
174,385,393,0,150,0,True,29,,baseline
175,396,393,0,150,0,False,31,,baseline
176,409,394,0,150,0,False,31,,baseline
177,417,393,0,150,0,False,32,,baseline
178,424,393,0,150,0,False,31,,baseline
179,429,394,0,150,0,False,32,,baseline
180,449,395,0,150,0,False,33,,baseline
181,462,396,0,150,0,False,30,,baseline
182,476,399,0,150,0,False,30,,baseline
183,499,399,0,150,0,False,21,,baseline
184,521,404,0,150,0,False,29,,baseline
185,557,409,0,150,0,False,33,,baseline
186,561,409,0,150,0,False,30,,baseline
187,570,408,0,150,0,False,31,,baseline
188,570,405,0,150,0,False,29,,baseline
189,577,404,0,150,0,False,27,,baseline
190,587,405,0,150,0,False,32,,baseline
191,572,408,0,150,0,False,30,,baseline
192,573,410,0,150,0,False,31,,baseline
193,582,415,0,150,0,False,32,,baseline
194,583,414,0,150,0,False,22,,baseline
195,588,413,0,150,0,False,30,,baseline
196,589,414,0,150,0,False,31,,baseline
197,587,415,0,150,0,False,31,,baseline
